,Sourah_number,Verse_number,Sourah_Ar,Sourah_En,Verse_diac,Verse,Sahih_International,Pickthall,Yusuf_Ali (YA),Shakir,Muhammad_Sarwar (MS),Mohsin_Khan (MK),Arberry,Label
1296,56,78,سورة الواقعة, l-wāqiʿah ,فِي كِتَٰبٖ مَّكۡنُونٖ,في كتٰب مكنون,In a Register well-protected;,In a Book kept hidden,"In Book well-guarded,",In a book that is protected,preserved in a hidden Book which,In a Book well-guarded (with Allah in the heaven i.e. Al-Lauh Al-Mahfuz).,in a hidden Book,joy
1297,31,11,سورة لقمان, luq'mān,هَٰذَا خَلۡقُ ٱللَّهِ فَأَرُونِي مَاذَا خَلَقَ ٱلَّذِينَ مِن دُونِهِۦۚ بَلِ ٱلظَّٰلِمُونَ فِي ضَلَٰلٖ مُّبِينٖ,هٰذا خلق الله فاروني ماذا خلق الذين من دونه بل الظٰلمون في ضلٰل مبين,"This is the creation of Allah. So show Me what those other than Him have created. Rather, the wrongdoers are in clear error.","This is the Creation of Allah. Now show me that which those (ye worship) beside Him have created. Nay, but the wrong-doers are in error manifest!","Such is the Creation of Allah: now show Me what is there that others besides Him have created: nay, but the Transgressors are in manifest error.","This is Allah's creation, but show Me what those besides Him have created. Nay, the unjust are in manifest error","This is the creation of God. Show me what those whom you consider equal to God have created. In fact, the unjust ones are in plain error.","This is the creation of Allah. So show Me that which those (whom you worship), besides Him have created. Nay, the Zalimun (polytheists, wrong­doers and those who do not believe in the Oneness of Allah) are in plain error.","This is God's creation; now show me what those have created that are apart from Him! Nay, but the evildoers are in manifest error.",anger
1298,20,103,سورة طه, ṭā hā,يَتَخَٰفَتُونَ بَيۡنَهُمۡ إِن لَّبِثۡتُمۡ إِلَّا عَشۡرٗا,يتخٰفتون بينهم ان لبثتم الا عشرا,"They will murmur among themselves, ""You remained not but ten [days in the world].""",Murmuring among themselves: Ye have tarried but ten (days).,"In whispers will they consult each other: ""Yet tarried not longer than ten (Days);",They shall consult together secretly: You did tarry but ten (centuries).,"They will slowly talk to each other and say, ""Our life on earth was as short as ten days"".","In whispers will they speak to each other (saying): ""You stayed not longer than ten (days).""","whispering one to another, 'You have tarried only ten nights.'",anger
1299,21,101,سورة الانبياء, l-anbiyāa ,إِنَّ ٱلَّذِينَ سَبَقَتۡ لَهُم مِّنَّا ٱلۡحُسۡنَىٰٓ أُوْلَٰٓئِكَ عَنۡهَا مُبۡعَدُونَ,ان الذين سبقت لهم منا الحسنىٰ اولٰئك عنها مبعدون,"Indeed, those for whom the best [reward] has preceded from Us - they are from it far removed.","Lo! those unto whom kindness hath gone forth before from Us, they will be far removed from thence.","Those for whom the good (record) from Us has gone before, will be removed far therefrom.","Surely (as for) those for whom the good has already gone forth from Us, they shall be kept far off from it;",But those to whom We have already promised blessings will be far away from hell.,"Verily those for whom the good has preceded from Us, they will be removed far therefrom (Hell) [e.g. 'Iesa (Jesus), son of Maryam (Mary); 'Uzair (Ezra), etc.].","But as for those unto whom already the reward most fair has gone forth from Us,",joy
1300,31,31,سورة لقمان, luq'mān,أَلَمۡ تَرَ أَنَّ ٱلۡفُلۡكَ تَجۡرِي فِي ٱلۡبَحۡرِ بِنِعۡمَتِ ٱللَّهِ لِيُرِيَكُم مِّنۡ ءَايَٰتِهِۦٓۚ إِنَّ فِي ذَٰلِكَ لَأٓيَٰتٖ لِّكُلِّ صَبَّارٖ شَكُورٖ,الم تر ان الفلك تجري في البحر بنعمت الله ليريكم من ءايٰته ان في ذٰلك لايٰت لكل صبار شكور,Do you not see that ships sail through the sea by the favor of Allah that He may show you of His signs? Indeed in that are signs for everyone patient and grateful.,"Hast thou not seen how the ships glide on the sea by Allah's grace, that He may show you of His wonders? Lo! therein indeed are portents for every steadfast, grateful (heart).",Seest thou not that the ships sail through the ocean by the Grace of Allah?- that He may show you of His Signs? Verily in this are Signs for all who constantly persevere and give thanks.,"Do you not see that the ships run on in the sea by Allah's favor that He may show you of His signs? Most surely there are signs in this for every patient endurer, grateful one.",Have you not seen that the ships sail in the ocean through the bounty of God so that He may show you the evidence (of His existence). There is evidence (of the truth) in this for every forbearing and grateful one.,"See you not that the ships sail through the sea by Allah's Grace? that He may show you of His Signs? Verily, in this are signs for every patient, grateful (person).","Hast thou not seen how that the ships run upon the sea by the blessing of God, that He may show you some of His signs? Surely in that are signs for every man enduring, thankful.",fear
1301,69,5,سورة الحاقة, l-ḥāqah ,فَأَمَّا ثَمُودُ فَأُهۡلِكُواْ بِٱلطَّاغِيَةِ,فاما ثمود فاهلكوا بالطاغية,"So as for Thamud, they were destroyed by the overpowering [blast].","As for Thamud, they were destroyed by the lightning.","But the Thamud,- they were destroyed by a terrible Storm of thunder and lightning!","Then as to Samood, they were destroyed by an excessively severe punishment.",The Thamuds were destroyed by a violent blast of sound.,"As for Thamud, they were destroyed by the awful cry!","As for Thamood, they were destroyed by the Screamer;",fear
1302,68,25,سورة القلم, l-qalam ,وَغَدَوۡاْ عَلَىٰ حَرۡدٖ قَٰدِرِينَ,وغدوا علىٰ حرد قٰدرين,"And they went early in determination, [assuming themselves] able.","They went betimes, strong in (this) purpose.","And they opened the morning, strong in an (unjust) resolve.","And in the morning they went, having the power to prevent.",They were resolved to repel the beggars.,"And they went in the morning with strong intention, thinking that they have power (to prevent the poor taking anything of the fruits therefrom).","And they went forth early, determined upon their purpose.",fear
1303,42,10,سورة الشورىٰ, l-shūrā ,وَمَا ٱخۡتَلَفۡتُمۡ فِيهِ مِن شَيۡءٖ فَحُكۡمُهُۥٓ إِلَى ٱللَّهِۚ ذَٰلِكُمُ ٱللَّهُ رَبِّي عَلَيۡهِ تَوَكَّلۡتُ وَإِلَيۡهِ أُنِيبُ,وما اختلفتم فيه من شيء فحكمه الى الله ذٰلكم الله ربي عليه توكلت واليه انيب,"And in anything over which you disagree - its ruling is [to be referred] to Allah. [Say], ""That is Allah , my Lord; upon Him I have relied, and to Him I turn back.""","And in whatsoever ye differ, the verdict therein belongeth to Allah. Such is my Lord, in Whom I put my trust, and unto Whom I turn.","Whatever it be wherein ye differ, the decision thereof is with Allah: such is Allah my Lord: In Him I trust, and to Him I turn.","And in whatever thing you disagree, the judgment thereof is (in) Allah's (hand); that is Allah, my Lord, on Him do I rely and to Him do I turn time after time.","Whatever differences you may have about the Quran, the final decision rests with God. In Him do I trust and to Him do I turn in repentance.","And in whatsoever you differ, the decision thereof is with Allah (He is the ruling Judge). (And say O Muhammad SAW to these polytheists:) Such is Allah, my Lord in Whom I put my trust, and to Him I turn in all of my affairs and in repentance.","And whatever you are at variance on, the judgment thereof belongs to God. That then is God, my Lord; in Him I have put my trust, and to Him I turn, penitent.",fear
1304,26,85,سورة الشعراء, l-shuʿarā ,وَٱجۡعَلۡنِي مِن وَرَثَةِ جَنَّةِ ٱلنَّعِيمِ,واجعلني من ورثة جنة النعيم,And place me among the inheritors of the Garden of Pleasure.,"And place me among the inheritors of the Garden of Delight,","""Make me one of the inheritors of the Garden of Bliss;",And make me of the heirs of the garden of bliss,Make me inherit the bountiful Paradise.,And make me one of the inheritors of the Paradise of Delight;,Make me one of the inheritors of the Garden of Bliss,joy
1305,48,3,سورة الفتح, l-fatḥ ,وَيَنصُرَكَ ٱللَّهُ نَصۡرًا عَزِيزًا,وينصرك الله نصرا عزيزا,And [that] Allah may aid you with a mighty victory.,And that Allah may help thee with strong help -,And that Allah may help thee with powerful help.,And that Allah might help you with a mighty help.,and grant you a majestic triumph.,And that Allah may help you with strong help.,and that God may help thee with mighty help.,joy
1306,104,4,سورة الهمزة, l-humazah ,كَلَّاۖ لَيُنۢبَذَنَّ فِي ٱلۡحُطَمَةِ,كلا لينبذن في الحطمة,No! He will surely be thrown into the Crusher.,"Nay, but verily he will be flung to the Consuming One.","By no means! He will be sure to be thrown into That which Breaks to Pieces,","Nay! he shall most certainly be hurled into the crushing disaster,",By no means! They will be thrown into hutamah.,"Nay! Verily, he will be thrown into the crushing Fire.",No indeed; he shall be thrust into the Crusher;,anger
1307,6,47,سورة الانعام, l-anʿām ,قُلۡ أَرَءَيۡتَكُمۡ إِنۡ أَتَىٰكُمۡ عَذَابُ ٱللَّهِ بَغۡتَةً أَوۡ جَهۡرَةً هَلۡ يُهۡلَكُ إِلَّا ٱلۡقَوۡمُ ٱلظَّٰلِمُونَ,قل ارءيتكم ان اتىٰكم عذاب الله بغتة او جهرة هل يهلك الا القوم الظٰلمون,"Say, ""Have you considered: if the punishment of Allah should come to you unexpectedly or manifestly, will any be destroyed but the wrongdoing people?""","Say: Can ye see yourselves, if the punishment of Allah come upon you unawares or openly? Would any perish save wrongdoing folk?","Say: ""Think ye, if the punishment of Allah comes to you, whether suddenly or openly, will any be destroyed except those who do wrong?","Say: Have you considered if the chastisement of Allah should overtake you suddenly or openly, will any be destroyed but the unjust people?","Tell them, ""Have you considered that if God's torment was to befall you suddenly or in public, would anyone else be destroyed except the unjust?""","Say: ""Tell me, if the punishment of Allah comes to you suddenly (during the night), or openly (during the day), will any be destroyed except the Zalimun (polytheists and wrong-doing people)?""","Say: 'What think you? If God's chastisement comes upon you, suddenly or openly, shall any be destroyed, except the people of the evildoers?'",fear
1308,38,61,سورة ص, ṣād,قَالُواْ رَبَّنَا مَن قَدَّمَ لَنَا هَٰذَا فَزِدۡهُ عَذَابٗا ضِعۡفٗا فِي ٱلنَّارِ,قالوا ربنا من قدم لنا هٰذا فزده عذابا ضعفا في النار,"They will say, ""Our Lord, whoever brought this upon us - increase for him double punishment in the Fire.""","They say: Our Lord! Whoever did prepare this for us, oh, give him double portion of the Fire!","They will say: ""Our Lord! whoever brought this upon us,- Add to him a double Penalty in the Fire!""","They shall say: Our Lord! whoever prepared it first for us, add Thou to him a double chastisement in the fire.","They will continue saying, ""Lord, double the torment of fire for those who led us into this.","They will say: ""Our Lord! Whoever brought this upon us, add to him a double torment in the Fire!""","They say, 'Our Lord, whoso forwarded this for us, give him a double chastisement in the Fire!'",anger
1309,7,38,سورة الاعراف, l-aʿrāf ,قَالَ ٱدۡخُلُواْ فِيٓ أُمَمٖ قَدۡ خَلَتۡ مِن قَبۡلِكُم مِّنَ ٱلۡجِنِّ وَٱلۡإِنسِ فِي ٱلنَّارِۖ كُلَّمَا دَخَلَتۡ أُمَّةٞ لَّعَنَتۡ أُخۡتَهَاۖ حَتَّىٰٓ إِذَا ٱدَّارَكُواْ فِيهَا جَمِيعٗا قَالَتۡ أُخۡرَىٰهُمۡ لِأُولَىٰهُمۡ رَبَّنَا هَٰٓؤُلَآءِ أَضَلُّونَا فَـَٔاتِهِمۡ عَذَابٗا ضِعۡفٗا مِّنَ ٱلنَّارِۖ قَالَ لِكُلّٖ ضِعۡفٞ وَلَٰكِن لَّا تَعۡلَمُونَ,قال ادخلوا في امم قد خلت من قبلكم من الجن والانس في النار كلما دخلت امة لعنت اختها حتىٰ اذا اداركوا فيها جميعا قالت اخرىٰهم لاولىٰهم ربنا هٰؤلاء اضلونا فاتهم عذابا ضعفا من النار قال لكل ضعف ولٰكن لا تعلمون,"[Allah] will say, ""Enter among nations which had passed on before you of jinn and mankind into the Fire."" Every time a nation enters, it will curse its sister until, when they have all overtaken one another therein, the last of them will say about the first of them ""Our Lord, these had misled us, so give them a double punishment of the Fire. He will say, ""For each is double, but you do not know.""","He saith: Enter into the Fire among nations of the jinn and humankind who passed away before you. Every time a nation entereth, it curseth its sister (nation) till, when they have all been made to follow one another thither, the last of them saith unto the first of them: Our Lord! These led us astray, so give them double torment of the Fire. He saith: For each one there is double (torment), but ye know not.","He will say: ""Enter ye in the company of the peoples who passed away before you - men and jinns, - into the Fire."" Every time a new people enters, it curses its sister-people (that went before), until they follow each other, all into the Fire. Saith the last about the first: ""Our Lord! it is these that misled us: so give them a double penalty in the Fire."" He will say: ""Doubled for all"" : but this ye do not understand.","He will say: Enter into fire among the nations that have passed away before you from among jinn and men; whenever a nation shall enter, it shall curse its sister, until when they have all come up with one another into it; the last of them shall say with regard to the foremost of them: Our Lord! these led us astray therefore give them a double chastisement of the fire. He will say: Every one shall have double but you do not know.","(On the Day of Judgment) the Lord will say to them, ""Join the group of jinn and people who lived before you, in hell."" Each group, on entering hell, will curse the other dwellers, until all of them are brought together therein. The last group will accuse the first saying, ""Lord, they made us go astray. Therefore, double their torment in the Fire."" The Lord will reply, ""For everyone of you there is a double torment, but you do not know it"".","(Allah) will say: ""Enter you in the company of nations who passed away before you, of men and jinns, into the Fire."" Every time a new nation enters, it curses its sister nation (that went before), until they will be gathered all together in the Fire. The last of them will say to the first of them: ""Our Lord! These misled us, so give them a double torment of the Fire."" He will say: ""For each one there is double (torment), but you know not.""","He will say, 'Enter among nations that passed away before you, jinn and mankind, into the Fire.' Whenever any nation enters, it curses its sister-nation; till, when they have all successively come there, the last of them shall say to the first of them, 'O our Lord, these led us astray; so give them a double chastisement of the Fire.' He will say, 'Unto each a double, but you know not.",fear
1310,20,133,سورة طه, ṭā hā,وَقَالُواْ لَوۡلَا يَأۡتِينَا بِـَٔايَةٖ مِّن رَّبِّهِۦٓۚ أَوَلَمۡ تَأۡتِهِم بَيِّنَةُ مَا فِي ٱلصُّحُفِ ٱلۡأُولَىٰ,وقالوا لولا ياتينا باية من ربه اولم تاتهم بينة ما في الصحف الاولىٰ,"And they say, ""Why does he not bring us a sign from his Lord?"" Has there not come to them evidence of what was in the former scriptures?",And they say: If only he would bring us a miracle from his Lord! Hath there not come unto them the proof of what is in the former scriptures?,"They say: ""Why does he not bring us a sign from his Lord?"" Has not a Clear Sign come to them of all that was in the former Books of revelation?",And they say: Why does he not bring to us a sign from his Lord? Has not there come to them a clear evidence of what is in the previous books?,"They have said, ""Why has he, (Muhammad), not brought some miracle from his Lord?"" Have they not received the previously revealed heavenly Books as the evidence of the Truth.","They say: ""Why does he not bring us a sign (proof) from his Lord?"" Has there not come to them the proof of that which is (written) in the former papers [Scriptures, i.e. the Taurat (Torah), and the Injeel (Gospel), etc. about the coming of the Prophet Muhammad SAW ].","They say, 'Why does he not bring us a sign from his Lord?' Has there not come to them the clear sign of what is in the former scrolls?",anger
1311,62,9,سورة الجمعة, l-jumuʿah ,يَٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوٓاْ إِذَا نُودِيَ لِلصَّلَوٰةِ مِن يَوۡمِ ٱلۡجُمُعَةِ فَٱسۡعَوۡاْ إِلَىٰ ذِكۡرِ ٱللَّهِ وَذَرُواْ ٱلۡبَيۡعَۚ ذَٰلِكُمۡ خَيۡرٞ لَّكُمۡ إِن كُنتُمۡ تَعۡلَمُونَ,يٰايها الذين ءامنوا اذا نودي للصلوٰة من يوم الجمعة فاسعوا الىٰ ذكر الله وذروا البيع ذٰلكم خير لكم ان كنتم تعلمون,"O you who have believed, when [the adhan] is called for the prayer on the day of Jumu'ah [Friday], then proceed to the remembrance of Allah and leave trade. That is better for you, if you only knew.","O ye who believe! When the call is heard for the prayer of the day of congregation, haste unto remembrance of Allah and leave your trading. That is better for you if ye did but know.","O ye who believe! When the call is proclaimed to prayer on Friday (the Day of Assembly), hasten earnestly to the Remembrance of Allah, and leave off business (and traffic): That is best for you if ye but knew!","O you who believe! when the call is made for prayer on Friday, then hasten to the remembrance of Allah and leave off trading; that is better for you, if you know.","Believers, on Friday when the call for prayer is made, try to attend prayer (remembering God) and leave off all business. This would be better for you if only you knew it.","O you who believe (Muslims)! When the call is proclaimed for the Salat (prayer) on the day of Friday (Jumu'ah prayer), come to the remembrance of Allah [Jumu'ah religious talk (Khutbah) and Salat (prayer)] and leave off business (and every other thing), that is better for you if you did but know!","O believers, when proclamation is made for prayer on the Day of Congregation, hasten to God's remembrance and leave trafficking aside; that is better for you, did you but know.",joy
1312,79,31,سورة النازعات, l-nāziʿāt ,أَخۡرَجَ مِنۡهَا مَآءَهَا وَمَرۡعَىٰهَا,اخرج منها ماءها ومرعىٰها,"He extracted from it its water and its pasture,","And produced therefrom the water thereof and the pasture thereof,",He draweth out therefrom its moisture and its pasture;,He brought forth from it its water and its pasturage.,"produced water and grass therefrom,",And brought forth therefrom its water and its pasture;,"therefrom brought forth its waters and its pastures,",joy
1313,56,67,سورة الواقعة, l-wāqiʿah ,بَلۡ نَحۡنُ مَحۡرُومُونَ,بل نحن محرومون,"Rather, we have been deprived.""","Nay, but we are deprived!","""Indeed are we shut out (of the fruits of our labour)""",Nay! we are deprived.,"Surely, we have been deprived (of the benefits)"".","""Nay, but we are deprived!""","nay, we have been robbed!'",fear
1314,53,55,سورة النجم, l-najm ,فَبِأَيِّ ءَالَآءِ رَبِّكَ تَتَمَارَىٰ,فباي ءالاء ربك تتمارىٰ,Then which of the favors of your Lord do you doubt?,"Concerning which then, of the bounties of thy Lord, canst thou dispute?","Then which of the gifts of thy Lord, (O man,) wilt thou dispute about?",Which of your Lord's benefits will you then dispute about?,About which of the bounties of your Lord can they persistently dispute?,Then which of the Graces of your Lord (O man!) will you doubt.,Then which of thy Lord's bounties disputest thou?,fear
1315,77,23,سورة المرسلات, l-mur'salāt ,فَقَدَرۡنَا فَنِعۡمَ ٱلۡقَٰدِرُونَ,فقدرنا فنعم القٰدرون,"And We determined [it], and excellent [are We] to determine.",Thus We arranged. How excellent is Our arranging!,For We do determine (according to need); for We are the best to determine (things).,So We proportion it-- how well are We at proportioning (things).,Thus did We Plan and how excellent is Our planning!,"So We did measure, and We are the Best to measure (the things).",We determined; excellent determiners are We.,joy
1316,93,7,سورة الضحىٰ, l-ḍuḥā ,وَوَجَدَكَ ضَآلّٗا فَهَدَىٰ,ووجدك ضالا فهدىٰ,"And He found you lost and guided [you],",Did He not find thee wandering and direct (thee)?,"And He found thee wandering, and He gave thee guidance.","And find you lost (that is, unrecognized by men) and guide (them to you)?",Did He not find you wandering about and give you guidance?,"And He found you unaware (of the Quran, its legal laws, and Prophethood, etc.) and guided you?","Did He not find thee erring, and guide thee?",sadness
1317,46,23,سورة الاحقاف, l-aḥqāf ,قَالَ إِنَّمَا ٱلۡعِلۡمُ عِندَ ٱللَّهِ وَأُبَلِّغُكُم مَّآ أُرۡسِلۡتُ بِهِۦ وَلَٰكِنِّيٓ أَرَىٰكُمۡ قَوۡمٗا تَجۡهَلُونَ,قال انما العلم عند الله وابلغكم ما ارسلت به ولٰكني ارىٰكم قوما تجهلون,"He said, ""Knowledge [of its time] is only with Allah , and I convey to you that with which I was sent; but I see you [to be] a people behaving ignorantly.""","He said: The knowledge is with Allah only. I convey unto you that wherewith I have been sent, but I see you are a folk that know not.","He said: ""The Knowledge (of when it will come) is only with Allah: I proclaim to you the mission on which I have been sent: But I see that ye are a people in ignorance!""..","He said: The knowledge is only with Allah, and I deliver to you the message with which I am sent, but I see you are a people who are ignorant.","He said, ""Only God has the knowledge (of the coming of such torment). I preach to you the message that I have brought, but I can see that you are an ignorant people"".","He said: ""The knowledge (of the time of its coming) is with Allah only, and I convey to you that wherewith I have been sent, but I see that you are a people given to ignorance!""","He said, 'Knowledge is only with God, and I deliver to you the Message with which I was sent; but I see you are an ignorant people.'",sadness
1318,18,11,سورة الكهف, l-kahf ,فَضَرَبۡنَا عَلَىٰٓ ءَاذَانِهِمۡ فِي ٱلۡكَهۡفِ سِنِينَ عَدَدٗا,فضربنا علىٰ ءاذانهم في الكهف سنين عددا,So We cast [a cover of sleep] over their ears within the cave for a number of years.,Then We sealed up their hearing in the Cave for a number of years.,"Then We draw (a veil) over their ears, for a number of years, in the Cave, (so that they heard not):",So We prevented them from hearing in the cave for a number of years.,We sealed their ears in the cave for a number of years.,"Therefore We covered up their (sense of) hearing (causing them, to go in deep sleep) in the Cave for a number of years.",Then We smote their ears many years in the Cave.,sadness
1319,39,45,سورة الزمر, l-zumar ,وَإِذَا ذُكِرَ ٱللَّهُ وَحۡدَهُ ٱشۡمَأَزَّتۡ قُلُوبُ ٱلَّذِينَ لَا يُؤۡمِنُونَ بِٱلۡأٓخِرَةِۖ وَإِذَا ذُكِرَ ٱلَّذِينَ مِن دُونِهِۦٓ إِذَا هُمۡ يَسۡتَبۡشِرُونَ,واذا ذكر الله وحده اشمازت قلوب الذين لا يؤمنون بالاخرة واذا ذكر الذين من دونه اذا هم يستبشرون,"And when Allah is mentioned alone, the hearts of those who do not believe in the Hereafter shrink with aversion, but when those [worshipped] other than Him are mentioned, immediately they rejoice.","And when Allah alone is mentioned, the hearts of those who believe not in the Hereafter are repelled, and when those (whom they worship) beside Him are mentioned, behold! they are glad.","When Allah, the One and Only, is mentioned, the hearts of those who believe not in the Hereafter are filled with disgust and horror; but when (gods) other than He are mentioned, behold, they are filled with joy!","And when Allah alone is mentioned, the hearts of those who do not believe in the hereafter shrink, and when those besides Him are mentioned, lo! they are joyful.","When one God is mentioned, the hearts of those who do not believe in the Day of Judgment begin to shrink, but when the idols are mentioned, they rejoice.","And when Allah Alone is mentioned, the hearts of those who believe not in the Hereafter are filled with disgust (from the Oneness of Allah () and when those (whom they obey or worship) besides Him [like all false deities other than Allah, it may be a Messenger like 'Iesa (Jesus) ­ son of Maryam (Mary), 'Uzair (Ezra), an angel, a pious man, a jinn, or any other creature even idols, graves of religious people, saints, priests, monks, etc.] are mentioned, behold, they rejoice!","When God is mentioned alone, then shudder the hearts of those who believe not in the Hereafter, but when those apart from Him are mentioned behold, they rejoice.",sadness
1320,101,11,سورة القارعة, l-qāriʿah ,نَارٌ حَامِيَةُۢ,نار حامية,"It is a Fire, intensely hot.",Raging Fire.,(It is) a Fire Blazing fiercely!,A burning fire.,It is a burning Fire.,(It is) a hot blazing Fire!,A blazing Fire!,fear
1321,63,11,سورة المنافقون, l-munāfiqūn ,وَلَن يُؤَخِّرَ ٱللَّهُ نَفۡسًا إِذَا جَآءَ أَجَلُهَاۚ وَٱللَّهُ خَبِيرُۢ بِمَا تَعۡمَلُونَ,ولن يؤخر الله نفسا اذا جاء اجلها والله خبير بما تعملون,But never will Allah delay a soul when its time has come. And Allah is Acquainted with what you do.,"But Allah reprieveth no soul when its term cometh, and Allah is Informed of what ye do.",But to no soul will Allah grant respite when the time appointed (for it) has come; and Allah is well acquainted with (all) that ye do.,"And Allah does not respite a soul when its appointed term has come, and Allah is Aware of what you do.",God will never grant respite to any soul when its appointed time has come. God is Well-Aware of what you do.,And Allah grants respite to none when his appointed time (death) comes. And Allah is All-Aware of what you do.,But God will never defer any soul when its term comes. And God is aware of the things you do.,fear
1322,19,40,سورة مريم, maryam ,إِنَّا نَحۡنُ نَرِثُ ٱلۡأَرۡضَ وَمَنۡ عَلَيۡهَا وَإِلَيۡنَا يُرۡجَعُونَ,انا نحن نرث الارض ومن عليها والينا يرجعون,"Indeed, it is We who will inherit the earth and whoever is on it, and to Us they will be returned.","Lo! We, only We, inherit the earth and all who are thereon, and unto Us they are returned.","It is We Who will inherit the earth, and all beings thereon: to Us will they all be returned.","Surely We inherit the earth and all those who are on it, and to Us they shall be returned.",We are the heirs of the earth and those living in it will all return to Us.,"Verily! We will inherit the earth and whatsoever is thereon. And to Us they all shall be returned,","Surely We shall inherit the earth and all that are upon it, and unto Us they shall be returned.",fear
1323,68,52,سورة القلم, l-qalam ,وَمَا هُوَ إِلَّا ذِكۡرٞ لِّلۡعَٰلَمِينَ,وما هو الا ذكر للعٰلمين,But it is not except a reminder to the worlds.,When it is naught else than a Reminder to creation.,But it is nothing less than a Message to all the worlds.,And it is naught but a reminder to the nations.,The Quran is nothing but a reminder from God to mankind.,"But it is nothing else than a Reminder to all the 'Alamin (mankind, jinns and all that exists).",And it is nothing but a Reminder unto all beings.,fear
1324,88,24,سورة الغاشية, l-ghāshiyah ,فَيُعَذِّبُهُ ٱللَّهُ ٱلۡعَذَابَ ٱلۡأَكۡبَرَ,فيعذبه الله العذاب الاكبر,Then Allah will punish him with the greatest punishment.,Allah will punish him with direst punishment.,"Allah will punish him with a mighty Punishment,",Allah will chastise him with the greatest chastisement.,God will punish them with the greatest torment.,Then Allah will punish him with the greatest punishment.,God shall chastise him with the greatest chastisement.,sadness
1325,59,16,سورة الحشر, l-ḥashr ,كَمَثَلِ ٱلشَّيۡطَٰنِ إِذۡ قَالَ لِلۡإِنسَٰنِ ٱكۡفُرۡ فَلَمَّا كَفَرَ قَالَ إِنِّي بَرِيٓءٞ مِّنكَ إِنِّيٓ أَخَافُ ٱللَّهَ رَبَّ ٱلۡعَٰلَمِينَ,كمثل الشيطٰن اذ قال للانسٰن اكفر فلما كفر قال اني بريء منك اني اخاف الله رب العٰلمين,"[The hypocrites are] like the example of Satan when he says to man, ""Disbelieve."" But when he disbelieves, he says, ""Indeed, I am disassociated from you. Indeed, I fear Allah , Lord of the worlds.""","(And the hypocrites are) on the likeness of the devil when he telleth man to disbelieve, then, when he disbelieveth saith: Lo! I am quit of thee. Lo! I fear Allah, the Lord of the Worlds.","(Their allies deceived them), like the Evil One, when he says to man, ""Deny Allah"": but when (man) denies Allah, (the Evil One) says, ""I am free of thee: I do fear Allah, the Lord of the Worlds!""","Like the Shaitan when he says to man: Disbelieve, but when he disbelieves, he says: I am surely clear of you; surely I fear Allah, the Lord of the worlds.","They are like satan who said to people, ""Reject the faith,"" but when the people rejected the faith he said, ""I have nothing to do with you. I fear the Lord of the Universe"".","(Their allies deceived them) like Shaitan (Satan), when he says to man: ""Disbelieve in Allah."" But when (man) disbelieves in Allah, Shaitan (Satan) says: ""I am free of you, I fear Allah, the Lord of the 'Alamin (mankind, jinns and all that exists)!""","Like Satan, when he said to man, 'Disbelieve'; then, when he disbelieved, he said, 'Surely I am quit of you. Surely I fear God, the Lord of all Being.'",fear
1326,35,4,سورة فاطر, fāṭir ,وَإِن يُكَذِّبُوكَ فَقَدۡ كُذِّبَتۡ رُسُلٞ مِّن قَبۡلِكَۚ وَإِلَى ٱللَّهِ تُرۡجَعُ ٱلۡأُمُورُ,وان يكذبوك فقد كذبت رسل من قبلك والى الله ترجع الامور,"And if they deny you, [O Muhammad] - already were messengers denied before you. And to Allah are returned [all] matters.","And if they deny thee, (O Muhammad), messengers (of Allah) were denied before thee. Unto Allah all things are brought back.","And if they reject thee, so were messengers rejected before thee: to Allah back for decision all affairs.","And if they call you a liar, truly messengers before you were called liars, and to Allah are all affairs returned.","If they reject you, other Messengers had certainly been rejected before you. All decisions are in the hands of God.","And if they belie you (O Muhammad SAW), so were Messengers belied before you. And to Allah return all matters (for decision).","If they cry lies to thee, Messengers before thee were cried lies to; and unto God all matters are returned.",sadness
