Surah,Ayah,Arabic,Urdu,English,Tags,Category,Emotion,Context
11,91,قَالُوا يَا شُعَيْبُ مَا نَفْقَهُ كَثِيرًا مِمَّا تَقُولُ وَإِنَّا لَنَرَاكَ فِينَا ضَعِيفًا ۖ وَلَوْلَا رَهْطُكَ لَرَجَمْنَاكَ ۖ وَمَا أَنْتَ عَلَيْنَا بِعَزِيزٍ,اُنہوں نے کہا کہ شعیب تمہاری بہت سی باتیں ہماری سمجھ میں نہیں آتیں اور ہم دیکھتے ہیں کہ تم ہم میں کمزور بھی ہو اور اگر تمہارے بھائی نہ ہوتے تو ہم تم کو سنگسار کر دیتے اور تم ہم پر (کسی طرح بھی) غالب نہیں ہو,"They said: O Shu’eyb! We understand not much of that thou tellest, and lo! we do behold thee weak among us. But for thy family, we should have stoned thee, for thou art not strong against us.","Prophethood, Disbelief, Hypocrisy, Power, Society, Prophets, Lessons from history",History & Stories (Qasas al-Anbiya),Anger at Injustice,Historical story
11,92,قَالَ يَا قَوْمِ أَرَهْطِي أَعَزُّ عَلَيْكُمْ مِنَ اللَّهِ وَاتَّخَذْتُمُوهُ وَرَاءَكُمْ ظِهْرِيًّا ۖ إِنَّ رَبِّي بِمَا تَعْمَلُونَ مُحِيطٌ,انہوں نے کہا کہ قوم! کیا میرے بھائی بندوں کا دباؤ تم پر خدا سے زیادہ ہے۔ اور اس کو تم نے پیٹھ پیچھے ڈال رکھا ہے۔ میرا پروردگار تو تمہارے سب اعمال پر احاطہ کیے ہوئے ہے,"He said: O my people! Is my family more to be honoured by you than Allah ? and ye put Him behind you, neglected! Lo! my Lord surroundeth what ye do.","Tawheed, Prophethood, Disbelief, Accountability, Power, Guidance, Misguidance",History & Stories (Qasas al-Anbiya),Anger at Injustice,Historical story
11,93,وَيَا قَوْمِ اعْمَلُوا عَلَىٰ مَكَانَتِكُمْ إِنِّي عَامِلٌ ۖ سَوْفَ تَعْلَمُونَ مَنْ يَأْتِيهِ عَذَابٌ يُخْزِيهِ وَمَنْ هُوَ كَاذِبٌ ۖ وَارْتَقِبُوا إِنِّي مَعَكُمْ رَقِيبٌ,اور برادران ملت! تم اپنی جگہ کام کیے جاؤ میں (اپنی جگہ) کام کیے جاتا ہوں۔ تم کو عنقریب معلوم ہوجائے گا کہ رسوا کرنے والا عذاب کس پر آتا ہے اور جھوٹا کون ہے اور تم بھی انتظار کرو، میں بھی تمہارے ساتھ انتظار کرتا ہوں,"And, O my people! Act according to your power, lo! I (too) am acting. Ye will soon know on whom there cometh a doom that will abase him, and who it is that lieth. And watch! Lo! I am a watcher with you.","Prophethood, Punishment, Accountability, Guidance, Fear, Hope, Patience",History & Stories (Qasas al-Anbiya),Determination,Historical story
11,94,وَلَمَّا جَاءَ أَمْرُنَا نَجَّيْنَا شُعَيْبًا وَالَّذِينَ آمَنُوا مَعَهُ بِرَحْمَةٍ مِنَّا وَأَخَذَتِ الَّذِينَ ظَلَمُوا الصَّيْحَةُ فَأَصْبَحُوا فِي دِيَارِهِمْ جَاثِمِينَ,اور جب ہمارا حکم آپہنچا تو ہم نے شعیب کو اور جو لوگ ان کے ساتھ ایمان لائے تھے ان کو تو اپنی رحمت سے بچا لیا۔ اور جو لوگ ظالم تھے، ان کو چنگھاڑ نے آدبوچا تو وہ اپنے گھروں میں اوندھے پڑے رہ گئے,"And when Our commandment came to pass We saved Shu’eyb and those who believed with him by a mercy from Us; and the (Awful) Cry seized those who did injustice, and morning found them prostrate in their dwellings,","Prophets, Nations, Lessons from history, Punishment, Mercy, Disbelief, Faith, Justice",History & Stories (Qasas al-Anbiya),Awe,Historical story
11,95,كَأَنْ لَمْ يَغْنَوْا فِيهَا ۗ أَلَا بُعْدًا لِمَدْيَنَ كَمَا بَعِدَتْ ثَمُودُ,گویا ان میں کبھی بسے ہی نہ تھے۔ سن رکھو کہ مدین پر (ویسی ہی) پھٹکار ہے جیسی ثمود پر پھٹکار تھی,"As though they had not dwelt there. A far removal for Midian, even as Thamud had been removed afar!","Lessons from history, Punishment, Nations, Prophets, Disbelief",History & Stories (Qasas al-Anbiya),Sadness,Historical story
11,96,وَلَقَدْ أَرْسَلْنَا مُوسَىٰ بِآيَاتِنَا وَسُلْطَانٍ مُبِينٍ,اور ہم نے موسیٰ کو اپنی نشانیاں اور دلیل روشن دے کر بھیجا,And verily We sent Moses with Our revelations and a clear warrant,"Prophethood, Revelation, Prophets, Guidance, Divine Attributes & Signs",History & Stories (Qasas al-Anbiya),Awe,Historical story
11,97,إِلَىٰ فِرْعَوْنَ وَمَلَئِهِ فَاتَّبَعُوا أَمْرَ فِرْعَوْنَ ۖ وَمَا أَمْرُ فِرْعَوْنَ بِرَشِيدٍ,(یعنی) فرعون اور اس کے سرداروں کی طرف۔ تو وہ فرعون ہی کے حکم پر چلے۔ اور فرعون کا حکم درست نہیں تھا,"Unto Pharaoh and his chiefs, but they did follow the command of Pharaoh, and the command of Pharaoh was no right guide.","Prophets, Nations, Lessons from history, Misguidance, Disbelief, Punishment",History & Stories (Qasas al-Anbiya),Sadness,Historical story
11,98,يَقْدُمُ قَوْمَهُ يَوْمَ الْقِيَامَةِ فَأَوْرَدَهُمُ النَّارَ ۖ وَبِئْسَ الْوِرْدُ الْمَوْرُودُ,وہ قیامت کے دن اپنی قوم کے آگے آگے چلے گا اور ان کو دوزخ میں جا اُتارے گا اور جس مقام پر وہ اُتارے جائیں گے وہ برا ہے,"He will go before his people on the Day of Resurrection and will lead them to the Fire for watering-place. Ah, hapless is the watering- place (whither they are) led.","Prophets, Nations, Lessons from history, Hell, Punishment, Resurrection, Accountability",History & Stories (Qasas al-Anbiya),Fear,Historical story
11,99,وَأُتْبِعُوا فِي هَٰذِهِ لَعْنَةً وَيَوْمَ الْقِيَامَةِ ۚ بِئْسَ الرِّفْدُ الْمَرْفُودُ,اور اس جہان میں بھی لعنت ان کے پیچھے لگا دی گئی اور قیامت کے دن بھی (پیچھے لگی رہے گی)۔ جو انعام ان کو ملا ہے برا ہے,A curse is made to follow them in the world and on the Day of Resurrection. Hapless is the gift (that will be) given (them).,"Punishment, Hell, Accountability, Resurrection, Lessons from history, Disbelief",Eschatology (Akhirah),Fear,Historical story
11,100,ذَٰلِكَ مِنْ أَنْبَاءِ الْقُرَىٰ نَقُصُّهُ عَلَيْكَ ۖ مِنْهَا قَائِمٌ وَحَصِيدٌ,یہ (پرانی) بستیوں کے تھوڑے سے حالات ہیں جو ہم تم سے بیان کرتے ہیں۔ ان میں سے بعض تو باقی ہیں اور بعض کا تہس نہس ہوگیا,That is (something) of the tidings of the townships (which were destroyed of old). We relate it unto thee (Muhammad). Some of them are standing and some (already) reaped.,"Lessons from history, Nations, Prophets, Punishment, Guidance",History & Stories (Qasas al-Anbiya),Awe,Historical story
11,101,وَمَا ظَلَمْنَاهُمْ وَلَٰكِنْ ظَلَمُوا أَنْفُسَهُمْ ۖ فَمَا أَغْنَتْ عَنْهُمْ آلِهَتُهُمُ الَّتِي يَدْعُونَ مِنْ دُونِ اللَّهِ مِنْ شَيْءٍ لَمَّا جَاءَ أَمْرُ رَبِّكَ ۖ وَمَا زَادُوهُمْ غَيْرَ تَتْبِيبٍ,اور ہم نے ان لوگوں پر ظلم نہیں کیا بلکہ انہوں نے خود اپنے اُوپر ظلم کیا۔ غرض جب تمہارے پروردگار کا حکم آپہنچا تو جن معبودوں کو وہ خدا کے سوا پکارا کرتے تھے وہ ان کے کچھ بھی کام نہ آئے۔ اور تباہ کرنے کے سوا ان کے حق میں اور کچھ نہ کرسکے,"We wronged them not, but they did wrong themselves; and their gods on whom they call beside Allah availed them naught when came thy Lord’s command; they added to them naught save ruin.","Tawheed, Disbelief, Punishment, Accountability, Lessons from history, Prophets, Nations",History & Stories (Qasas al-Anbiya),Sadness,Historical story
11,102,وَكَذَٰلِكَ أَخْذُ رَبِّكَ إِذَا أَخَذَ الْقُرَىٰ وَهِيَ ظَالِمَةٌ ۚ إِنَّ أَخْذَهُ أَلِيمٌ شَدِيدٌ,اور تمہارا پروردگار جب نافرمان بستیوں کو پکڑا کرتا ہے تو اس کی پکڑ اسی طرح کی ہوتی ہے۔ بےشک اس کی پکڑ دکھ دینے والی اور سخت ہے,"Even thus is the grasp of thy Lord when He graspeth the townships while they are doing wrong. Lo! His grasp is painful, very strong.","Punishment, Power, Justice, Lessons from history, Fear, Nations",Divine Attributes & Signs (Asma wa Sifat),Fear,Historical story
11,103,إِنَّ فِي ذَٰلِكَ لَآيَةً لِمَنْ خَافَ عَذَابَ الْآخِرَةِ ۚ ذَٰلِكَ يَوْمٌ مَجْمُوعٌ لَهُ النَّاسُ وَذَٰلِكَ يَوْمٌ مَشْهُودٌ,ان (قصوں) میں اس شخص کے لیے جو عذاب آخرت سے ڈرے عبرت ہے۔ یہ وہ دن ہوگا جس میں سب لوگ اکٹھے کیے جائیں گے اور یہی وہ دن ہوگا جس میں سب (خدا کے روبرو) حاضر کیے جائیں گے,"Lo! herein verily there is a portent for those who fear the doom of the Hereafter. That is a day unto which mankind will be gathered, and that is a day that will be witnessed.","Fear, Hell, Resurrection, Accountability, Punishment, Lessons from history",Eschatology (Akhirah),Fear,Eschological context
11,104,وَمَا نُؤَخِّرُهُ إِلَّا لِأَجَلٍ مَعْدُودٍ,اور ہم اس کے لانے میں ایک وقت معین تک تاخیر کر رہے ہیں,And We defer it only to a term already reckoned.,"Punishment, Mercy, Accountability, Resurrection",Eschatology (Akhirah),Fear,Eschological context
11,105,يَوْمَ يَأْتِ لَا تَكَلَّمُ نَفْسٌ إِلَّا بِإِذْنِهِ ۚ فَمِنْهُمْ شَقِيٌّ وَسَعِيدٌ,جس روز وہ آجائے گا تو کوئی متنفس خدا کے حکم کے بغیر بول بھی نہیں سکے گا۔ پھر ان میں سے کچھ بدبخت ہوں گے اور کچھ نیک بخت,"On the day when it cometh no soul will speak except by His permission; some among them will be wretched, (others) glad.","Resurrection, Accountability, Punishment, Reward, Fear, Awe",Eschatology (Akhirah),Fear,Eschological context
11,106,فَأَمَّا الَّذِينَ شَقُوا فَفِي النَّارِ لَهُمْ فِيهَا زَفِيرٌ وَشَهِيقٌ,تو جو بدبخت ہوں گے وہ دوزخ میں (ڈال دیئے جائیں گے) اس میں ان کا چلانا اور دھاڑنا ہوگا,"As for those who will be wretched (on that day) they will be in the Fire; sighing and wailing will be their portion therein,","Hell, Punishment, Disbelief, Accountability, Resurrection",Eschatology (Akhirah),Fear,Eschological context
11,107,خَالِدِينَ فِيهَا مَا دَامَتِ السَّمَاوَاتُ وَالْأَرْضُ إِلَّا مَا شَاءَ رَبُّكَ ۚ إِنَّ رَبَّكَ فَعَّالٌ لِمَا يُرِيدُ,(اور) جب تک آسمان اور زمین ہیں، اسی میں رہیں گے مگر جتنا تمہارا پروردگار چاہے۔ بےشک تمہارا پروردگار جو چاہتا ہے کردیتا ہے,Abiding there so long as the heavens and the earth endure save for that which thy Lord willeth. Lo! thy Lord is Doer of what He will.,"Hell, Punishment, Power, Mercy, Accountability, Resurrection",Eschatology (Akhirah),Fear,Eschological context
11,108,وَأَمَّا الَّذِينَ سُعِدُوا فَفِي الْجَنَّةِ خَالِدِينَ فِيهَا مَا دَامَتِ السَّمَاوَاتُ وَالْأَرْضُ إِلَّا مَا شَاءَ رَبُّكَ ۖ عَطَاءً غَيْرَ مَجْذُوذٍ,اور جو نیک بخت ہوں گے، وہ بہشت میں داخل کیے جائیں گے اور جب تک آسمان اور زمین ہیں ہمیشہ اسی میں رہیں گے مگر جتنا تمہارا پروردگار چاہے۔ بےشک تمہارا پروردگار جو چاہتا ہے کردیتا ہے۔ اور جو نیک بخت ہوں گے وہ بہشت میں داخل کئے جائیں گے (اور) جب تک آسمان اور زمین ہیں ہمیشہ اسی میں رہیں گے۔ مگر جتنا تمہارا پروردگار چاہے۔ یہ (خدا کی) بخشش ہے جو کبھی منقطع نہیں ہوگی,"And as for those who will be glad (that day) they will be in the Garden, abiding there so long as the heavens and the earth endure save for that which thy Lord willeth: a gift unfailing.","Heaven, Reward, Mercy, Faith, Hope",Eschatology (Akhirah),Hope,Eschological context
11,109,فَلَا تَكُ فِي مِرْيَةٍ مِمَّا يَعْبُدُ هَٰؤُلَاءِ ۚ مَا يَعْبُدُونَ إِلَّا كَمَا يَعْبُدُ آبَاؤُهُمْ مِنْ قَبْلُ ۚ وَإِنَّا لَمُوَفُّوهُمْ نَصِيبَهُمْ غَيْرَ مَنْقُوصٍ,تو یہ لوگ جو (غیر خدا کی) پرستش کرتے ہیں۔ اس سے تم خلجان میں نہ پڑنا۔ یہ اسی طرح پرستش کرتے ہیں جس طرح پہلے سے ان کے باپ دادا پرستش کرتے آئے ہیں۔ اور ہم ان کو ان کا حصہ پورا پورا بلا کم وکاست دینے والے ہیں,So be not thou in doubt concerning that which these (folk) worship. They worship only as their fathers worshipped aforetime. Lo! we shall pay them their whole due unabated.,"Tawheed, Disbelief, Lessons from history, Punishment, Guidance, Misguidance",Faith (Aqeedah),Fear,Historical story
11,110,وَلَقَدْ آتَيْنَا مُوسَى الْكِتَابَ فَاخْتُلِفَ فِيهِ ۚ وَلَوْلَا كَلِمَةٌ سَبَقَتْ مِنْ رَبِّكَ لَقُضِيَ بَيْنَهُمْ ۚ وَإِنَّهُمْ لَفِي شَكٍّ مِنْهُ مُرِيبٍ,اور ہم نے موسیٰ کو کتاب دی تو اس میں اختلاف کیا گیا اور اگر تمہارے پروردگار کی طرف سے ایک بات پہلے نہ ہوچکی ہوتی تو ان میں فیصلہ کردیا جاتا۔ اور وہ تو اس سے قوی شبہے میں (پڑے ہوئے) ہیں,"And we verily gave unto Moses the Scripture, and there was strife thereupon; and had it not been for a Word that had already gone forth from thy Lord, the case would have been judged between them, and lo! they are in grave doubt concerning it.","Prophethood, Revelation, Prophets, Lessons from history, Disbelief, Guidance, Mercy",History & Stories (Qasas al-Anbiya),Awe,Historical story
11,111,وَإِنَّ كُلًّا لَمَّا لَيُوَفِّيَنَّهُمْ رَبُّكَ أَعْمَالَهُمْ ۚ إِنَّهُ بِمَا يَعْمَلُونَ خَبِيرٌ,اور تمہارا پروردگار ان سب کو (قیامت کے دن) ان کے اعمال کا پورا پورا بدلہ دے گا۔ بےشک جو عمل یہ کرتے ہیں وہ اس سے واقف ہے,And lo! unto each thy Lord will verily repay his works in full. Lo! He is Informed of what they do.,"Accountability, Reward, Punishment, Justice, Knowledge, Power",Eschatology (Akhirah),Fear,Eschological context
11,112,فَاسْتَقِمْ كَمَا أُمِرْتَ وَمَنْ تَابَ مَعَكَ وَلَا تَطْغَوْا ۚ إِنَّهُ بِمَا تَعْمَلُونَ بَصِيرٌ,سو (اے پیغمبر) جیسا تم کو حکم ہوتا ہے (اس پر) تم اور جو لوگ تمہارے ساتھ تائب ہوئے ہیں قائم رہو۔ اور حد سے تجاوز نہ کرنا۔ وہ تمہارے سب اعمال کو دیکھ رہا ہے,"So tread thou the straight path as thou art commanded, and those who turn (unto Allah) with thee, and transgress not. Lo! He is Seer of what ye do.","Guidance, Patience, Faith, Prophethood, Accountability, Mercy",Ethics & Morality (Akhlaq),Determination,Spiritual reminder
11,113,وَلَا تَرْكَنُوا إِلَى الَّذِينَ ظَلَمُوا فَتَمَسَّكُمُ النَّارُ وَمَا لَكُمْ مِنْ دُونِ اللَّهِ مِنْ أَوْلِيَاءَ ثُمَّ لَا تُنْصَرُونَ,اور جو لوگ ظالم ہیں، ان کی طرف مائل نہ ہونا، نہیں تو تمہیں (دوزخ کی) آگ آلپٹے گی اور خدا کے سوا تمہارے اور دوست نہیں ہیں۔ اگر تم ظالموں کی طرف مائل ہوگئے تو پھر تم کو (کہیں سے) مدد نہ مل سکے گی,"And incline not toward those who do wrong lest the Fire touch you, and ye have no protecting friends against Allah, and afterward ye would not be helped.","Hell, Punishment, Fear, Guidance, Misguidance, Faith, Disbelief",Eschatology (Akhirah),Fear,Moral teaching context
11,114,وَأَقِمِ الصَّلَاةَ طَرَفَيِ النَّهَارِ وَزُلَفًا مِنَ اللَّيْلِ ۚ إِنَّ الْحَسَنَاتِ يُذْهِبْنَ السَّيِّئَاتِ ۚ ذَٰلِكَ ذِكْرَىٰ لِلذَّاكِرِينَ,اور دن کے دونوں سروں (یعنی صبح اور شام کے اوقات میں) اور رات کی چند (پہلی) ساعات میں نماز پڑھا کرو۔ کچھ شک نہیں کہ نیکیاں گناہوں کو دور کر دیتی ہیں۔ یہ ان کے لیے نصیحت ہے جو نصیحت قبول کرنے والے ہیں,Establish worship at the two ends of the day and in some watches of the night. Lo! good deeds annul ill-deeds. This is reminder for the mindful.,"Prayer, Guidance, Mercy, Repentance, Faith",Worship (‘Ibadah),Repentance,Worship guidance
11,115,وَاصْبِرْ فَإِنَّ اللَّهَ لَا يُضِيعُ أَجْرَ الْمُحْسِنِينَ,اور صبر کیے رہو کہ خدا نیکوکاروں کا اجر ضائع نہیں کرتا,"And have patience, (O Muhammad), for lo! Allah loseth not the wages of the good.","Patience, Reward, Faith, Mercy",Ethics & Morality (Akhlaq),Hope,Spiritual reminder
11,116,فَلَوْلَا كَانَ مِنَ الْقُرُونِ مِنْ قَبْلِكُمْ أُولُو بَقِيَّةٍ يَنْهَوْنَ عَنِ الْفَسَادِ فِي الْأَرْضِ إِلَّا قَلِيلًا مِمَّنْ أَنْجَيْنَا مِنْهُمْ ۗ وَاتَّبَعَ الَّذِينَ ظَلَمُوا مَا أُتْرِفُوا فِيهِ وَكَانُوا مُجْرِمِينَ,تو جو اُمتیں تم سے پہلے گزر چکی ہیں، ان میں ایسے ہوش مند کیوں نہ ہوئے جو ملک میں خرابی کرنے سے روکتے ہاں (ایسے) تھوڑے سے (تھے) جن کو ہم نے ان میں سے مخلصی بخشی۔ اور جو ظالم تھے وہ ان ہی باتوں کے پیچھے لگے رہے جس میں عیش وآرام تھا اور وہ گناہوں میں ڈوبے ہوئے تھے,"If only there had been among the generations before you men possessing a remnant (of good sense) to warn (their people) from corruption in the earth, as did a few of those whom We saved from them! The wrong-doers followed that by which they were made sapless, and were guilty.","Lessons from history, Nations, Prophets, Justice, Misguidance, Punishment, Mercy",History & Stories (Qasas al-Anbiya),Sadness,Historical story
11,117,وَمَا كَانَ رَبُّكَ لِيُهْلِكَ الْقُرَىٰ بِظُلْمٍ وَأَهْلُهَا مُصْلِحُونَ,اور تمہارا پروردگار ایسا نہیں ہے کہ بستیوں کو جب کہ وہاں کے باشندے نیکوکار ہوں ازراہِ ظلم تباہ کردے,In truth thy Lord destroyed not the townships tyrannously while their folk were doing right.,"Justice, Mercy, Punishment, Divine Attributes, Lessons from history",Divine Attributes & Signs (Asma wa Sifat),Awe,Moral teaching context
11,118,وَلَوْ شَاءَ رَبُّكَ لَجَعَلَ النَّاسَ أُمَّةً وَاحِدَةً ۖ وَلَا يَزَالُونَ مُخْتَلِفِينَ,اور اگر تمہارا پروردگار چاہتا تو تمام لوگوں کو ایک ہی جماعت کردیتا لیکن وہ ہمیشہ اختلاف کرتے رہیں گے,"And if thy Lord had willed, He verily would have made mankind one nation, yet they cease not differing,","Tawheed, Divine Attributes & Signs, Guidance, Misguidance, Faith, Disbelief",Divine Attributes & Signs (Asma wa Sifat),Awe,Makki Revelation
11,119,إِلَّا مَنْ رَحِمَ رَبُّكَ ۚ وَلِذَٰلِكَ خَلَقَهُمْ ۗ وَتَمَّتْ كَلِمَةُ رَبِّكَ لَأَمْلَأَنَّ جَهَنَّمَ مِنَ الْجِنَّةِ وَالنَّاسِ أَجْمَعِينَ,مگر جن پر تمہارا پروردگار رحم کرے۔ اور اسی لیے اس نے ان کو پیدا کیا ہے اور تمہارے پروردگار کا قول پورا ہوگیا کہ میں دوزخ کو جنوں اور انسانوں سب سے بھر دوں گا,Save him on whom thy Lord hath mercy; and for that He did create them. And the Word of thy Lord hath been fulfilled: Verily I shall fill hell with the jinn and mankind together.,"Hell, Mercy, Punishment, Disbelief, Faith, Divine Attributes & Signs",Eschatology (Akhirah),Fear,Eschological context
11,120,وَكُلًّا نَقُصُّ عَلَيْكَ مِنْ أَنْبَاءِ الرُّسُلِ مَا نُثَبِّتُ بِهِ فُؤَادَكَ ۚ وَجَاءَكَ فِي هَٰذِهِ الْحَقُّ وَمَوْعِظَةٌ وَذِكْرَىٰ لِلْمُؤْمِنِينَ,(اے محمدﷺ) اور پیغمبروں کے وہ سب حالات جو ہم تم سے بیان کرتے ہیں ان سے ہم تمہارے دل کو قائم رکھتے ہیں۔ اور ان (قصص) میں تمہارے پاس حق پہنچ گیا اور یہ مومنوں کے لیے نصیحت اور عبرت ہے,And all that We relate unto thee of the story of the messengers is in order that thereby We may make firm thy heart. And herein hath come unto thee the Truth and an exhortation and a reminder for believers.,"Prophethood, Prophets, Lessons from history, Guidance, Faith, Revelation",History & Stories (Qasas al-Anbiya),Comfort,Spiritual reminder
11,121,وَقُلْ لِلَّذِينَ لَا يُؤْمِنُونَ اعْمَلُوا عَلَىٰ مَكَانَتِكُمْ إِنَّا عَامِلُونَ,اور جو لوگ ایمان نہیں لائے ان سے کہہ دو کہ تم اپنی جگہ عمل کیے جاؤ۔ ہم اپنی جگہ عمل کیے جاتے ہیں,And say unto those who believe not: Act according to your power. Lo! We (too) are acting.,"Disbelief, Guidance, Patience, Accountability",Ethics & Morality (Akhlaq),Determination,Moral teaching context
11,122,وَانْتَظِرُوا إِنَّا مُنْتَظِرُونَ,اور (نتیجہٴ اعمال کا) تم بھی انتظار کرو، ہم بھی انتظار کرتے ہیں,And wait! Lo! We (too) are waiting.,"Patience, Accountability, Reward, Punishment, Hope, Fear",Eschatology (Akhirah),Patience,Eschological context
11,123,وَلِلَّهِ غَيْبُ السَّمَاوَاتِ وَالْأَرْضِ وَإِلَيْهِ يُرْجَعُ الْأَمْرُ كُلُّهُ فَاعْبُدْهُ وَتَوَكَّلْ عَلَيْهِ ۚ وَمَا رَبُّكَ بِغَافِلٍ عَمَّا تَعْمَلُونَ,اور آسمانوں اور زمین کی چھپی چیزوں کا علم خدا ہی کو ہے اور تمام امور کا رجوع اسی کی طرف ہے۔ تو اسی کی عبادت کرو اور اسی پر بھروسہ رکھو۔ اور جو کچھ تم کررہے ہو تمہارا پروردگار اس سے بےخبر نہیں,"And Allah’s is the Invisible of the heavens and the earth, and unto Him the whole matter will be returned. So worship Him and put thy trust in Him. Lo! thy Lord is not unaware of what ye (mortals) do.","Tawheed, Knowledge, Power, Guidance, Faith, Accountability",Divine Attributes & Signs (Asma wa Sifat),Awe,Spiritual reminder
12,1,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ الر ۚ تِلْكَ آيَاتُ الْكِتَابِ الْمُبِينِ,الٓرا۔ یہ کتاب روشن کی آیتیں ہیں,Alif. Lam. Ra. These are verse of the Scripture that maketh plain.,"Revelation, Guidance, Prophethood",Divine Attributes & Signs (Asma wa Sifat),Awe,Makki Revelation
12,2,إِنَّا أَنْزَلْنَاهُ قُرْآنًا عَرَبِيًّا لَعَلَّكُمْ تَعْقِلُونَ,ہم نے اس قرآن کو عربی میں نازل کیا ہے تاکہ تم سمجھ سکو,"Lo! We have revealed it, a Lecture in Arabic, that ye may understand.","Revelation, Guidance, Knowledge, Wisdom",Divine Attributes & Signs (Asma wa Sifat),Awe,Makki Revelation
12,3,نَحْنُ نَقُصُّ عَلَيْكَ أَحْسَنَ الْقَصَصِ بِمَا أَوْحَيْنَا إِلَيْكَ هَٰذَا الْقُرْآنَ وَإِنْ كُنْتَ مِنْ قَبْلِهِ لَمِنَ الْغَافِلِينَ,(اے پیغمبر) ہم اس قرآن کے ذریعے سے جو ہم نے تمہاری طرف بھیجا ہے تمہیں ایک نہایت اچھا قصہ سناتے ہیں اور تم اس سے پہلے بےخبر تھے,"We narrate unto thee (Muhammad) the best of narratives in that We have inspired in thee this Qur’an, though aforetime thou wast of the heedless.","Revelation, Prophethood, Guidance, Knowledge, Wisdom",Divine Attributes & Signs (Asma wa Sifat),Awe,Makki Revelation
12,4,إِذْ قَالَ يُوسُفُ لِأَبِيهِ يَا أَبَتِ إِنِّي رَأَيْتُ أَحَدَ عَشَرَ كَوْكَبًا وَالشَّمْسَ وَالْقَمَرَ رَأَيْتُهُمْ لِي سَاجِدِينَ,جب یوسف نے اپنے والد سے کہا کہ ابا میں نے (خواب میں) گیارہ ستاروں اور سورج اور چاند کو دیکھا ہے۔ دیکھتا (کیا) ہوں کہ وہ مجھے سجدہ کر رہے ہیں,"When Joseph said unto his father: O my father! Lo! I saw in a dream eleven planets and the sun and the moon, I saw them prostrating themselves unto me.","Prophethood, Revelation, Prophets, Family, Knowledge, Wisdom",History & Stories (Qasas al-Anbiya),Awe,Historical story
12,5,قَالَ يَا بُنَيَّ لَا تَقْصُصْ رُؤْيَاكَ عَلَىٰ إِخْوَتِكَ فَيَكِيدُوا لَكَ كَيْدًا ۖ إِنَّ الشَّيْطَانَ لِلْإِنْسَانِ عَدُوٌّ مُبِينٌ,انہوں نے کہا کہ بیٹا اپنے خواب کا ذکر اپنے بھائیوں سے نہ کرنا نہیں تو وہ تمہارے حق میں کوئی فریب کی چال چلیں گے۔ کچھ شک نہیں کہ شیطان انسان کا کھلا دشمن ہے,"He said: O my dear son! Tell not thy brethren of thy vision, lest they plot a plot against thee. Lo! Satan is for man an open foe.","Prophethood, Family, Misguidance, Patience, Wisdom, Fear",Ethics & Morality (Akhlaq),Fear,Moral teaching context
12,6,وَكَذَٰلِكَ يَجْتَبِيكَ رَبُّكَ وَيُعَلِّمُكَ مِنْ تَأْوِيلِ الْأَحَادِيثِ وَيُتِمُّ نِعْمَتَهُ عَلَيْكَ وَعَلَىٰ آلِ يَعْقُوبَ كَمَا أَتَمَّهَا عَلَىٰ أَبَوَيْكَ مِنْ قَبْلُ إِبْرَاهِيمَ وَإِسْحَاقَ ۚ إِنَّ رَبَّكَ عَلِيمٌ حَكِيمٌ,اور اسی طرح خدا تمہیں برگزیدہ (وممتاز) کرے گا اور (خواب کی) باتوں کی تعبیر کا علم سکھائے گا۔ اور جس طرح اس نے اپنی نعمت پہلے تمہارے دادا، پردادا ابراہیم اور اسحاق پر پوری کی تھی اسی طرح تم پر اور اولاد یعقوب پر پوری کرے گا۔ بےشک تمہارا پروردگار (سب کچھ) جاننے والا (اور) حکمت والا ہے,"Thus thy Lord will prefer thee and will teach thee the interpretation of events, and will perfect His grace upon thee and upon the family of Jacob as He perfected it upon thy forefathers, Abraham and Isaac. Lo! thy Lord is Knower, Wise.","Prophethood, Revelation, Mercy, Knowledge, Wisdom, Guidance, Faith, Hope",Faith (Aqeedah),Hope,Spiritual reminder
12,7,لَقَدْ كَانَ فِي يُوسُفَ وَإِخْوَتِهِ آيَاتٌ لِلسَّائِلِينَ,ہاں یوسف اور ان کے بھائیوں (کے قصے) میں پوچھنے والوں کے لیے (بہت سی) نشانیاں ہیں,Verily in Joseph and his brethren are signs (of Allah’s Sovereignty) for the inquiring.,"Prophets, Lessons from history, Guidance, Wisdom",History & Stories (Qasas al-Anbiya),Awe,Historical story
12,8,إِذْ قَالُوا لَيُوسُفُ وَأَخُوهُ أَحَبُّ إِلَىٰ أَبِينَا مِنَّا وَنَحْنُ عُصْبَةٌ إِنَّ أَبَانَا لَفِي ضَلَالٍ مُبِينٍ,جب انہوں نے (آپس میں) تذکرہ کیا کہ یوسف اور اس کا بھائی ابا کو ہم سے زیادہ پیارے ہیں حالانکہ ہم جماعت (کی جماعت) ہیں۔ کچھ شک نہیں کہ ابا صریح غلطی پر ہیں,"When they said: Verily Joseph and his brother are dearer to our father than we are, many though we be. Lo! our father is in plain aberration.","Family, Prophets, Lessons from history, Misguidance, Kindness, Justice",History & Stories (Qasas al-Anbiya),Anger at Injustice,Historical story
